Tweet_Text,Reply_Count,Retweet_Count,Like_Count,View_Count,Language,Source,Username,Location,year,month,day,hour,minute,weekday,Post_ID,ID_Source,predicted_label
"I had polio as a child and was one of the blessed ones . So many were crippled , in iron lungs , or died . 
Thank GOD that scientists came up with the polio vaccines .",0.0,0.0,1.0,81.0,English,Facebook,Geneva Wood Boggess,Ora in pensione,2024,12,1,12,37,Sunday,Y29tbWVudDoxMzgyMDA5NTc2NjE3MDEzXzE3MDg5MDQ2OTk3NzYxMDI=,Platform_ID,Uncertain
@toluogunlesi Can a man be vaccinated against the HPV?,0.0,0.0,0.0,225.0,English,Twitter,AhmadGumel2,"Federal Capital Territory, Nig",2023,10,25,4,47,Wednesday,SYN_2e4a12f9d8b65b10,Synthetic_ID,Uncertain
@pshegs Were pneumonia and diarrhea vaccine not in Nigeria currently?,0.0,0.0,0.0,29.0,English,Twitter,drikukuoma,"Abuja, Nigeria",2024,9,4,9,5,Wednesday,SYN_ac3799ddcff25094,Synthetic_ID,Uncertain
"Pls ma, can that of 14 weeks be taken at 15th week? My baby had fever a day to the 14 weeks immunization, I took him to the hospital and the doctor said he is not fit for the immunization. Should I skip it or go next week",0.0,0.0,1.0,81.0,Igbo,Facebook,Juliet Jp,World wide,2024,10,19,4,36,Saturday,Y29tbWVudDo3NzMzNzM4MTU2ODAxMDNfMzA1Njk5ODQyNzgyMDM2NA==,Platform_ID,Factual
"The ever pesky missing ""c""! I believe the intended word was ""eradiCate"". Not sure any sort of radiation was involverd in the eradication of either Polio or Small Pox!",0.0,0.0,1.0,81.0,English,Facebook,William von Rentzell,"South East, Nigeria ",2021,2,1,16,54,Monday,Y29tbWVudDoxMzgyMDA5NTc2NjE3MDEzXzc4ODU3NTU2NzI4OTM2Mw==,Platform_ID,Uncertain
Polio was the biggest fear our parents had back in the 50's.  It is an insidious disease.  I am glad I was vaccinated.  They didn't have a vaccine for measles when I was young and I caught it and it was horrendous.  Why anyone would want to put their child through that when it can be avoided is  beyond me.,0.0,0.0,1.0,81.0,English,Facebook,Sheila Smith,gujarat ,2025,10,22,15,36,Wednesday,Y29tbWVudDoxMTIxMTgzMDk2MDMxNjA2XzU1MjA2NzQzNDMxNzY2NQ==,Platform_ID,Factual
"@talk2anuradha We have our own population control techniques 🤟🏻🤟🏻 
(pun intended)",0.0,0.0,0.0,19.0,English,Twitter,drjain580849,Global ,2025,4,10,9,41,Thursday,SYN_612d81fff6da6277,Synthetic_ID,Uncertain
"Now do that with COVID.... 🤣🤣... The COVID vaccine didn't prevent infection or prevent it from being spread... Nobody is complaining about old school vaccines that work...
 They're against Experimental MRNA vaccines being forced on the public that don't even work.",0.0,0.0,1.0,81.0,English,Facebook,James Dallas,Nigeria,2025,10,22,3,35,Wednesday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzEyMjIxOTU2Mzk3NDkwMTg=,Platform_ID,Factual
"And the unvaccinated Amish haven't either, except for just after that Disney Land outbreak in California of the measles in 2014.  It was interesting how Merck had spent about a year rallying their lobbyists around mandatory vaccination laws just before that.  They caught a lucky break.  It was kind of crazy how the measles spread from California to the Amish on the east coast too.  All very timely for mandatory vaccine lobbyists at Merck.",0.0,0.0,1.0,81.0,English,Facebook,Horace Venjure,"Isu, Nigeria",2025,11,4,3,2,Tuesday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzE5MDg5MjE0MzY3MjYxMjY=,Platform_ID,Uncertain
"Can the World Health Organization (WHO) explain to the public that the current polio is vaccine caused. Can also explain how in 2020, 14,000 children from African countries like Congo, Sudan, etc contracted polio and became paralysed after the vaxxinations?. 
and how is another huge number of children from countries in Iraq, Afghanistan, etc also had the same fate?",0.0,0.0,1.0,81.0,English,Facebook,Andrea Andrea,"Islamabad, Pakistan",2025,10,21,11,39,Tuesday,Y29tbWVudDoxMjY0MzE0NzkyMzk0NTc1XzEzMjA2NzgwMjU4NzI5OTU=,Platform_ID,Factual
@NafdacAgency Wahala wa o,0.0,0.0,1.0,1525.0,Tagalog,Twitter,Alpha_Yom,Africa,2025,2,21,20,18,Friday,SYN_467caa72517677b1,Synthetic_ID,Factual
Yes oh he's a smart boy yes the immunization is good for hew health,0.0,0.0,1.0,81.0,Igbo,Facebook,Samuel Oisawhemi,Follow on 🍎 Music and Spotify,2025,6,29,20,4,Sunday,Y29tbWVudDoxMjIyMTc0MjI4NTgwNTM1MTZfNzIwODAwMjM3NTM5MDgx,Platform_ID,Factual
What is the essence of these vaccine?,0.0,0.0,1.0,81.0,English,Facebook,Paschaline Sweetness Grace,south of heaven ,2024,12,4,16,11,Wednesday,Y29tbWVudDo2ODcxNDE1Njc2MzY2NjJfNzEzMjEwNzg0OTY2MzY5,Platform_ID,Uncertain
Wish there had been a cited reference to go to. Was this for the Salk vaccine?,0.0,0.0,1.0,81.0,English,Facebook,David Foster,"Abuja, Nigeria",2024,3,16,8,23,Saturday,Y29tbWVudDo4MDcyMTY2NDQ5ODk0MTNfMTUxNzc5OTU4NjA4MzY0Nw==,Platform_ID,Uncertain
As a 10 yr old i remember loosing classmates to polio   I also had a cousin who contracted the disease  was treated with medication that stole her eyesight she had crippling for her entire 75 yrs,0.0,0.0,1.0,81.0,English,Facebook,Jeanne von Dohre,"Austin, TX",2024,11,28,13,23,Thursday,Y29tbWVudDoxMDc1MjcwODQxMzAxNDM3XzUyOTE4NTk4MDI0OTE3Mg==,Platform_ID,Uncertain
"@LisettePollet Bravo, si c'est efficace, les gens se précipiteront dessus par le bouche à oreille.

J'en profite pour dire au gens de se vacciner contre le pneumocoque responsable de nombreux décès après les infections virales. Le vaccin est connu depuis 1983. Celui là il est important surtout",0.0,0.0,0.0,2.0,French,Twitter,CarlosEdr2,Vevey,2025,11,10,13,55,Monday,SYN_395e1bfdf5014396,Synthetic_ID,Factual
"And both were created, (sort of) tested and distributed before vaccines became a pharmaceutical company's profit center.
BTW the two you mentioned (after the initial errors in application) are (maybe the only) two that every child should have before attending school (or equivalent), just not combined with x number of others before their first birthday",0.0,0.0,1.0,81.0,English,Facebook,Frederick W Myers,Nigeria,2022,12,14,17,41,Wednesday,Y29tbWVudDoxMzgyMDA5NTc2NjE3MDEzXzE0NjE4ODgwNjUwMzM0NzY=,Platform_ID,Uncertain
I’ve had measles and mumps but it was before the vaccines.,0.0,0.0,1.0,81.0,English,Facebook,Bruce Brown,Texas,2024,11,28,8,31,Thursday,Y29tbWVudDoxMzAxMjk0Njg0Nzg0NzMxXzE0NjAxMDUxOTg0NTg4NzA=,Platform_ID,Uncertain
"Please all vaccines be take at the weeks or months you mentioned? 
My babe was a preterm and her weight was low, so her doctor did allow to be taken any vaccines. Will it affect her in any way?",0.0,0.0,1.0,81.0,English,Facebook,Patience Edem Aggor,Everywhere ,2025,8,11,17,23,Monday,Y29tbWVudDo3NzMzNzM4MTU2ODAxMDNfMTk3NDM3MTc4OTgwMjgxMQ==,Platform_ID,Factual
"@NafdacAgency Hidden, which means they knew you were coming, right? I hope those involved were all arrested.",0.0,0.0,0.0,16.0,English,Twitter,ryanblaize,Nigeria,2025,2,23,1,34,Sunday,SYN_d97a8446e4d8ff6b,Synthetic_ID,Factual
They are charging us 10k here for rota virus o military hospital no vaccine is free o,0.0,0.0,1.0,81.0,English,Facebook,Miriam Emmanuel,United States,2025,11,8,16,54,Saturday,Y29tbWVudDo3NzMzNzM4MTU2ODAxMDNfMTE4Njc2MDQzNjY3MjAzMw==,Platform_ID,Factual
Good. Combination vaccines carry more risk.,0.0,0.0,1.0,81.0,English,Facebook,Tony Connelly,Graceland ,2023,6,11,18,34,Sunday,Y29tbWVudDoxMjc1ODU1NTM0NTc1NTQ3XzcwMTkyMTU4NTgzNjY2Mg==,Platform_ID,Uncertain
"@pshegs The conspiracy theories you Christ Embassy members are spreading on this app are quite something. Your Pastor Chris still hasn’t apologized for promoting dangerous and outlandish ideas about 5G, COVID-19, and other fringe nonsense more fitting for QAnon/MAGA right-wing circles.",0.0,0.0,1.0,102.0,English,Twitter,blaq69er,"Bainbridge, UK 🇳🇬🇬🇧",2024,9,4,0,33,Wednesday,SYN_16bef7721463ecc3,Synthetic_ID,Uncertain
"@DrTedros I routinely avoid any further jabs. The way in which the harms of the Covid jabs are played down / swept under the carpet, leaves me with no option than to avoid all jabs for the rest of my life. You &amp; those of your ilk can't be trusted.
#NoPandemicTreaty
#DefundTheWHO",0.0,0.0,14.0,150.0,English,Twitter,FawdonMag,Earth,2023,10,26,14,12,Thursday,SYN_cec493520827abc4,Synthetic_ID,Uncertain
@NigeriaGov ....on vaccine and they increase the price of everything so that they can realize the money back from the masses.,0.0,0.0,0.0,0.0,English,Twitter,macpraythaddeus, Republic of World,2021,4,2,12,9,Friday,SYN_bd64b9aa93934447,Synthetic_ID,Uncertain
"@P_McCulloughMD @kapchatfield @US_FDA The WEF globalists want to DEPOPULATE using mRNA vaxxes, from people to animals they are injecting everything they can, cow farts are not the problem, cows are used to feed people,if they can destroy the food supply they can starve the people who don't want the vaxxes",0.0,2.0,5.0,129.0,English,Twitter,deputydogblitzn,"Dallas, TX",2024,11,20,15,19,Wednesday,SYN_ce1e3a524ae920c2,Synthetic_ID,Uncertain
"When they wanted to spread HIV in black people they told them they were vaccinating them against diseases in the early 90s, Africans we are the most vaccinated spies close to animals, surprising fact is Africa had no diseases before Europeans arrived with their ships and weapons",0.0,0.0,1.0,81.0,English,Facebook,Dave Khorommbi Mpobane,"Kano & Bauchi, Nigeria",2024,12,4,13,53,Wednesday,Y29tbWVudDoxMTU1MTIyNDk5OTg0NTUzXzcyOTY5MzExOTk0ODU1MA==,Platform_ID,Uncertain
"Ending poliomyelitis is incomplete without working with survivors. 
The power of story telling drives change and ensures that survivors are seen and supported. Polio is not yet ending until voices of survivors are amplified",0.0,0.0,1.0,81.0,English,Facebook,Susan Kelechi,South of the Swamp,2024,9,3,20,49,Tuesday,Y29tbWVudDoxMjcxMTg5MzUxNzEwNTQzXzc3MzM5MTYyNTY4NzU4OA==,Platform_ID,Uncertain
"@stopvaccinating Dude, you’ve titled your profession as a social media influencer. Why should anyone take your posts seriously",0.0,0.0,6.0,83.0,English,Twitter,roseofthebean,Canada,2025,11,1,20,48,Saturday,SYN_ce83493147478615,Synthetic_ID,Uncertain
"@pshegs Pneumonia and diarrhea vaccines for children and pregnant women vaccine. Lol.

See you, see autism children everywhere.",0.0,2.0,3.0,50.0,English,Twitter,TYM4positivity,"Lagos, Nigeria",2024,9,4,5,11,Wednesday,SYN_30222bbe72e8ea04,Synthetic_ID,Factual
"@Incognito_qfs Cows &amp; Buffaloes have Ear tags.

Make it mandatory for DOGS to have Ear tags of Sterilization and vVaccinations.
For both Stray &amp; Pet Dogs. https://t.co/mrX4ZNljij",3.0,9.0,62.0,12313.0,English,Twitter,dsponia,IIT Kharagpur,2025,6,30,18,0,Monday,SYN_b27e48b5008e8f08,Synthetic_ID,Uncertain
"@MidwesternDoc How Do Vaccines Cause Autism?

https://t.co/FI6Hro0GiO",32.0,386.0,1570.0,180717.0,English,Twitter,VigilantFox,USA,2025,3,27,1,40,Thursday,SYN_f6bd426bd19f82c7,Synthetic_ID,Misinformation
I dont have dyslexia because I took the vaccine lolllllllllllll,0.0,0.0,1.0,81.0,English,Facebook,Renee Utter-Mabry,"Lagos, Nigeria",2024,11,28,9,40,Thursday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzEyMTMyMDg5OTQwMTI4ODc=,Platform_ID,Uncertain
I knew people who had polio. A neighbor girl who was confined to a wheel chair.,0.0,0.0,1.0,81.0,English,Facebook,Robert Hooper,"Abuja, Nigeria",2024,5,30,16,26,Thursday,Y29tbWVudDo3Njk2NDAxNDYxMDQ4OThfMTE3NTg2NzU1NDUwNjc1MQ==,Platform_ID,Uncertain
"@f_philippot Comme toujours si un grand nombre refuse de se vacciner il n'y aura plus assez de travailleurs  et un grand nombre ce n'est pas forcément une majorité,  20% 25% peut-être même moins pour désorganiser le pays.",0.0,0.0,0.0,12.0,French,Twitter,TASSIN_JMarc,Belgium,2025,10,30,9,59,Thursday,SYN_b9286dae64d3668e,Synthetic_ID,Misinformation
"@HerbalistChief Do you know that they started the trials about 4 years ago. In Ghana, children from North,Brong Ahafo were used. I didn't allow my kids to be given the vaccine at the 6month. Please always ask the kinda injections the give your children during weighing.",0.0,3.0,13.0,833.0,English,Twitter,sirgee_,LAGOS STATE,2024,11,30,12,44,Saturday,SYN_7389baeb8d3d25c5,Synthetic_ID,Factual
"So it’s not like Covid where the vaccinated can still get it? 
Lol",0.0,0.0,1.0,81.0,English,Facebook,Steve Booy,Mother Land,2022,12,15,5,35,Thursday,Y29tbWVudDoxMjI5MzU4NzcyNTQ5ODg4XzcxMzE2MTU2NDU1NDMwMg==,Platform_ID,Uncertain
I had a teacher in junior high who walked with a cane. She was still younger than other teachers but old  enough to not have had a polio vaccine. It was a miracle she could  even walk at all.,0.0,0.0,1.0,81.0,English,Facebook,Lucy Lilian,"Lagos, Nigeria",2025,11,8,17,50,Saturday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzE0NDk3MTUzMTYxMTQ4NTI=,Platform_ID,Uncertain
@camanpour @OgbeniDipo @yodifiji Please keep the vaccines there. Thanks,0.0,0.0,1.0,0.0,English,Twitter,charlescedars,Universal,2021,3,8,21,0,Monday,SYN_d5609966da0ae4c8,Synthetic_ID,Uncertain
Parents please don't allow them to vaccine your kids,0.0,0.0,1.0,81.0,English,Facebook,Nozi Fakude,Home is where the heart is,2025,4,10,11,3,Thursday,Y29tbWVudDoxMTU1MTIyNDk5OTg0NTUzXzQyMTE5NTc4NDU3OTU1ODU=,Platform_ID,Uncertain
"@enodamade Where can I get the vaccine in Ibadan, Sir?",1.0,0.0,0.0,863.0,English,Twitter,Olayemiariyike,"Ibadan, Nigeria",2024,6,3,8,15,Monday,SYN_e2f1c82f5abae50c,Synthetic_ID,Uncertain
"I got the Salk vaccine early on, then they switched to Sabin's vaccine.  I admit the sugar cube was more fun than the needle.",0.0,0.0,1.0,81.0,English,Facebook,Gerrie Brocker,Reality,2025,11,3,16,22,Monday,Y29tbWVudDoxMzU3MzM5ODI5MzM3Mjc5XzExMzI1NTAwODU2OTE4NTQ=,Platform_ID,Uncertain
measles is a serious disease at any age.,0.0,0.0,1.0,81.0,English,Facebook,Andrew MacIntosh,"Indiana, USA",2024,8,28,10,7,Wednesday,Y29tbWVudDoxMjQ4NzUxMTY3Mjk0NjM4Xzc2NzkyMzA5NjI5MjQwNQ==,Platform_ID,Uncertain
@DOlusegun The attempt to credit Tinubu’s 10 month old government with years of research of others is disingenuous. Even worse are the many here who believe Tinubu's “pledge to work with local researchers to develop new vaccines” has yielded fruits with this trial. It’s hopeless here,0.0,0.0,0.0,51.0,English,Twitter,Thingummy_Fire,Earth,2024,4,14,9,10,Sunday,SYN_466a7b7604c4015e,Synthetic_ID,Uncertain
"The only time I ever saw my Mother cry.  was when I was eating my sugar cube.  People in small towns in Iowa were in such fear ofpolio.  and my Mom loved taking us to the pool every day all summer,  and the gossip was that polio germs were in the pool water.",0.0,0.0,1.0,81.0,Igbo,Facebook,LeeAnn Gerleman,"Abeokuta, Nigeria",2021,9,12,4,33,Sunday,Y29tbWVudDoxMzU3MzM5ODI5MzM3Mjc5XzE4MjI1ODY0OTU4MDM4ODk=,Platform_ID,Uncertain
The placebo was another toxic vaccine not saline solution but just other un tested poison. ☠️,0.0,0.0,1.0,81.0,English,Facebook,Lisa Gap,Wereldwijd,2021,3,2,22,4,Tuesday,Y29tbWVudDo4MDcyMTY2NDQ5ODk0MTNfNDEyNDAxMjA2MTE3MjUyNw==,Platform_ID,Uncertain
@NafdacAgency People can do anything because of money. So sad! Vaccines that ought to be in coldchain under a staircase!,0.0,0.0,0.0,223.0,English,Twitter,alooo600,Nigeria,2025,2,22,2,14,Saturday,SYN_680c263c4c43e4ad,Synthetic_ID,Factual
"@_yedenu @NigeriaGov @NphcdaNG @followKWSG @AstraZeneca @RGAMeyer https://t.co/roDFIzOmwU
I was surprised that the guidelines say gloves are not necessary. We live and learn 😁",0.0,0.0,4.0,0.0,English,Twitter,DrGeeONE,"Ilorin, Nigeria",2021,3,17,18,26,Wednesday,SYN_7f05e7a7b2aa5732,Synthetic_ID,Factual
We were vaccinates in 4th grade..a classmate was absent that day. She contracted polio and died when wecwere high schoolers.,0.0,0.0,1.0,81.0,English,Facebook,Susan Jankot,"New Delhi, India",2024,11,30,16,5,Saturday,Y29tbWVudDo3Njk2NDAxNDYxMDQ4OThfMTI5MTA5MDQ1OTQ4ODc4Mg==,Platform_ID,Uncertain
"A historic step for child health in Nigeria. Protecting over 100 million children from measles, rubella, polio, and HPV is a generational investment in our nation’s future.
Every parent and community must support this effort — vaccination saves lives. 🇳🇬💉
#HealthForAll #VaccinesSaveLives #Nigeria
@",0.0,0.0,1.0,81.0,Igbo,Facebook,Obo Godknows,"Lagos, Nigeria",2024,4,14,6,58,Sunday,Y29tbWVudDo3MTkyMDgyMjExOTI3NjNfMTE0MjMwNTI0NDUyNDU2OQ==,Platform_ID,Factual
"I attended Jonas Salk school in Merrillville, Indiana...everyone who received the first polio vaccinations still have the virus.(SV-40) It was made with monkey kidneys, hence, have the S(Simian monkey) V(irus) 40 VIRUS...
Wake up people!!! I have had 4 craniotomy surgeries to remove tumors between the brain and skull...",0.0,0.0,1.0,81.0,English,Facebook,Ramona Moore,Adenta-Ghana,2025,10,28,17,11,Tuesday,Y29tbWVudDo4MTk4NzY5NzA5ODU1MjZfMTM0MjUyODAzNzQ1NDE1Nw==,Platform_ID,Uncertain
How many unvaxxed people were imported into the US between 2021 and 2024? 🤦,0.0,0.0,1.0,81.0,English,Facebook,Václav Holek,Third Rock from the Sun,2025,6,29,19,19,Sunday,Y29tbWVudDoxMjMzMDA0NzIyMjA3NzIwXzE1NDY0OTMzMDk4ODA3Nzg=,Platform_ID,Uncertain
"Together we can end polio with care, awareness, and compassion — empowering every child and supporting every life.",0.0,0.0,1.0,81.0,English,Facebook,Upasana Arora,"Zion, In Christ",2025,8,12,11,25,Tuesday,Y29tbWVudDoxMTU0ODA3NjMwMTc0NDc4Xzc4ODk3MTY2MDcwODUzMw==,Platform_ID,Factual
There hasn't been a case of wild polio in the U.S. since 1979.,0.0,0.0,1.0,81.0,English,Facebook,Jason Stroh,God's Hand ,2025,10,4,17,29,Saturday,Y29tbWVudDoxMjI5MzU4NzcyNTQ5ODg4XzE4NTQyNTIwNzUxNzYzMzk=,Platform_ID,Uncertain
@stopvaccinating It's been proven that they work idiot.,0.0,0.0,1.0,13.0,English,Twitter,kyleford63,Below Feed | Above Grid,2025,11,2,19,45,Sunday,SYN_8bf1d6cefd656fba,Synthetic_ID,Uncertain
@NafdacAgency Ibo people with another banger,5.0,1.0,17.0,1855.0,English,Twitter,yomiable,Yoruba Country,2025,2,21,20,2,Friday,SYN_b9f92ddbfc4bbf0a,Synthetic_ID,Factual
"@_paulodunayo @kilonpop We don’t need vaccines for malaria, what is wrong with this people? We have our local treatments for maleria.",0.0,0.0,0.0,6.0,English,Twitter,defnuttz,"Houston, TX",2024,6,4,22,16,Tuesday,SYN_94095706d1f06355,Synthetic_ID,Misinformation
@ruffydfire WHO and B Gate vaccine Not for my family,0.0,0.0,0.0,12.0,English,Twitter,IbeEmma86400073,Oyo and Lagos States.,2024,4,14,14,29,Sunday,SYN_04f1432217aa0e41,Synthetic_ID,Uncertain
"There are no recent official announcements or direct reports from the U.S. Centers for Disease Control and Prevention (CDC) regarding news about a Russian cancer vaccine. However, recent news from September 2025 indicates that Russia has announced the readiness for clinical use of its mRNA-based cancer vaccine, Enteromix, with initial reports of 100% efficacy and safety in trials and rollout plans for patients, according to reports from Indian news outlets and YouTube videos. The vaccine uses mRNA technology, similar to some COVID-19 vaccines, and aims to train the immune system to target and destroy cancer cells.",0.0,0.0,1.0,81.0,Igbo,Facebook,M Shafiq Raja,NYC,2025,9,6,9,24,Saturday,Y29tbWVudDo3NzkxOTc2NjE1MzA1MDVfMjQ1NjQ4MjIyMDMxOTk0MTQ=,Platform_ID,Factual
"We are on it since yesterday, we went for 10weeks immunization yesterday",0.0,0.0,1.0,81.0,Igbo,Facebook,Holluwa Boomie Stella Oludo,"hyderabad,INDIA",2024,4,13,19,32,Saturday,Y29tbWVudDo5MjM4MzMwMzk5MTkzMTJfOTU4OTY3MzQ5MTg0NTE0,Platform_ID,Factual
"@NphcdaNG @macdavinsy @drfaisalshuaib @Fmohnigeria @NCDCgov @Chikwe_I @WHONigeria @UNICEF_Nigeria @DrEOEhanire @gavi @NGFSecretariat @WMulombo You people are just so stupid, what’s history here,,, abi oloriburuku ni yin",0.0,0.0,0.0,0.0,English,Twitter,SNachio,"Lagos, Nigeria",2021,3,2,15,30,Tuesday,SYN_01228cb2006490b2,Synthetic_ID,Factual
